source,city,product_name,brand,selling_price,mrp,discount,availability,product_url,category,subcategory,pack_size
blinkit,Gurgaon,Avocado Hass - Tanzania,,89.0,112.0,20% OFF,In Stock,https://blinkit.com/prn/avocado-hass-tanzania/prid/190306,vegetables_fruits,all,150 g
blinkit,Gurgaon,Green Cucumber (Kheera),,29.0,34.0,14% OFF,In Stock,https://blinkit.com/prn/green-cucumber-kheera/prid/10088,vegetables_fruits,all,500 g
blinkit,Gurgaon,Red Bell Pepper,,61.0,79.0,22% OFF,In Stock,https://blinkit.com/prn/red-bell-pepper/prid/39394,vegetables_fruits,all,125 g
blinkit,Gurgaon,Yellaki Banana,,74.0,94.0,21% OFF,In Stock,https://blinkit.com/prn/yellaki-banana/prid/88275,vegetables_fruits,all,6 pcs
blinkit,Gurgaon,Garlic (Lehsun),,68.0,85.0,20% OFF,In Stock,https://blinkit.com/prn/garlic-lehsun/prid/95031,vegetables_fruits,all,200 g
blinkit,Gurgaon,Organically Grown Ginger (Adrak),,48.0,59.0,18% OFF,In Stock,https://blinkit.com/prn/organically-grown-ginger-adrak/prid/602584,vegetables_fruits,all,100 g
blinkit,Gurgaon,Blueberry - Imported,,229.0,263.0,12% OFF,In Stock,https://blinkit.com/prn/blueberry-imported/prid/480907,vegetables_fruits,all,125 g
blinkit,Gurgaon,Yellow Bell Pepper,,60.0,78.0,23% OFF,In Stock,https://blinkit.com/prn/yellow-bell-pepper/prid/39395,vegetables_fruits,all,125 g
blinkit,Gurgaon,Broccoli,,109.0,128.0,14% OFF,In Stock,https://blinkit.com/prn/broccoli/prid/559078,vegetables_fruits,all,300 g
blinkit,Gurgaon,Washington Red Delicious Apple,,183.0,219.0,16% OFF,In Stock,https://blinkit.com/prn/washington-red-delicious-apple/prid/232718,vegetables_fruits,all,340 g
blinkit,Gurgaon,Pooja Flower Mix,,35.0,44.0,20% OFF,In Stock,https://blinkit.com/prn/pooja-flower-mix/prid/450376,vegetables_fruits,all,100 g
blinkit,Gurgaon,"Aashirvaad Shudh Chakki Atta (100% Atta, 0% Maida, 5 Kg)",,244.0,267.0,8% OFF,In Stock,https://blinkit.com/prn/aashirvaad-shudh-chakki-atta-100-atta-0-maida-5-kg/prid/333764,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,Aashirvaad Select 100% MP Sharbati Atta,,140.0,156.0,10% OFF,In Stock,https://blinkit.com/prn/aashirvaad-select-100-mp-sharbati-atta/prid/567092,atta_rice_dal,atta,2 kg
blinkit,Gurgaon,"Aashirvaad Shudh Chakki Atta (100% Atta, 0% Maida)",,458.0,499.0,8% OFF,In Stock,https://blinkit.com/prn/aashirvaad-shudh-chakki-atta-100-atta-0-maida/prid/333324,atta_rice_dal,atta,10 kg
blinkit,Gurgaon,Aashirvaad High Fibre Multigrain Atta,,130.0,156.0,16% OFF,In Stock,https://blinkit.com/prn/aashirvaad-high-fibre-multigrain-atta/prid/710806,atta_rice_dal,atta,2 kg
blinkit,Gurgaon,"Fortune Fresh (100% Atta, 0% Maida) Chakki Atta",,221.0,253.0,12% OFF,In Stock,https://blinkit.com/prn/fortune-fresh-100-atta-0-maida-chakki-atta/prid/380156,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,"Two Brothers Khapli Wheat Atta, Stoneground",,214.0,225.0,,In Stock,https://blinkit.com/prn/two-brothers-khapli-wheat-atta-stoneground/prid/579854,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,"Whole Farm Chakki Atta (100% Atta, 0% Maida)",,193.0,290.0,33% OFF,In Stock,https://blinkit.com/prn/whole-farm-chakki-atta-100-atta-0-maida/prid/514893,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,"Whole Farm Chakki Atta (100% Atta, 0% Maida)",,368.0,606.0,39% OFF,In Stock,https://blinkit.com/prn/whole-farm-chakki-atta-100-atta-0-maida/prid/514892,atta_rice_dal,atta,10 kg
blinkit,Gurgaon,Organic Tattva Wheat Organic Atta - 1 kg,,75.0,95.0,21% OFF,In Stock,https://blinkit.com/prn/organic-tattva-wheat-organic-atta-1-kg/prid/81299,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,"Aashirvaad 0% Maida, 100 % MP Chakki Atta",,263.0,309.0,14% OFF,In Stock,https://blinkit.com/prn/aashirvaad-0-maida-100-mp-chakki-atta/prid/525463,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,"Two Brothers Khapli Wheat Atta, Stoneground",,896.0,995.0,9% OFF,In Stock,https://blinkit.com/prn/two-brothers-khapli-wheat-atta-stoneground/prid/653347,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,Aashirvaad Organic Atta,,286.0,414.0,30% OFF,In Stock,https://blinkit.com/prn/aashirvaad-organic-atta/prid/436305,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,Aashirvaad Organic Atta,,72.0,86.0,16% OFF,In Stock,https://blinkit.com/prn/aashirvaad-organic-atta/prid/436304,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,Pansari MP Sharbati Atta,,62.0,81.0,23% OFF,In Stock,https://blinkit.com/prn/pansari-mp-sharbati-atta/prid/544468,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,Organic Tattva Wheat Organic Atta - 5 kg,,310.0,450.0,31% OFF,In Stock,https://blinkit.com/prn/organic-tattva-wheat-organic-atta-5-kg/prid/86973,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,"Fortune Fresh (100% Atta, 0% Maida) Chakki Atta",,431.0,485.0,11% OFF,In Stock,https://blinkit.com/prn/fortune-fresh-100-atta-0-maida-chakki-atta/prid/380157,atta_rice_dal,atta,10 kg
blinkit,Gurgaon,Fortune Multigrain Atta,,324.0,386.0,16% OFF,In Stock,https://blinkit.com/prn/fortune-multigrain-atta/prid/729621,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,Lo Foods Ultra Lo Carb Keto Atta (High Fibre),,575.0,,,In Stock,https://blinkit.com/prn/lo-foods-ultra-lo-carb-keto-atta-high-fibre/prid/673525,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,Pansari MP Sharbati Atta,,264.0,360.0,26% OFF,In Stock,https://blinkit.com/prn/pansari-mp-sharbati-atta/prid/552930,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,"Pillsbury Fresh Chakki Atta (100% atta, 0% Maida)",,405.0,495.0,18% OFF,In Stock,https://blinkit.com/prn/pillsbury-fresh-chakki-atta-100-atta-0-maida/prid/23694,atta_rice_dal,atta,10 kg
blinkit,Gurgaon,Two Brothers Jaggery Powder Sugarcane Crushed Granular,,100.0,105.0,,In Stock,https://blinkit.com/prn/two-brothers-jaggery-powder-sugarcane-crushed-granular/prid/492184,atta_rice_dal,atta,500 g
blinkit,Gurgaon,Two Brothers Khapli Multigrain Atta,,354.0,370.0,,In Stock,https://blinkit.com/prn/two-brothers-khapli-multigrain-atta/prid/806406,atta_rice_dal,atta,2 kg
blinkit,Gurgaon,Vikram Mills Fresh Chakki Atta,,214.0,233.0,8% OFF,In Stock,https://blinkit.com/prn/vikram-mills-fresh-chakki-atta/prid/500270,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,Amul Organic Atta (Whole Wheat),,64.0,75.0,14% OFF,In Stock,https://blinkit.com/prn/amul-organic-atta-whole-wheat/prid/498764,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,Pansari Fresh Chakki Atta (0% Maida),,400.0,492.0,18% OFF,In Stock,https://blinkit.com/prn/pansari-fresh-chakki-atta-0-maida/prid/365683,atta_rice_dal,atta,10 kg
blinkit,Gurgaon,Rajdhani Fresh Chakki Atta,,100.0,135.0,25% OFF,In Stock,https://blinkit.com/prn/rajdhani-fresh-chakki-atta/prid/779990,atta_rice_dal,atta,2 kg
blinkit,Gurgaon,Fortune Premium MP Sharbati Atta,,322.0,385.0,16% OFF,In Stock,https://blinkit.com/prn/fortune-premium-mp-sharbati-atta/prid/544463,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,"Lo Foods Gluten Free Millet Atta (Bajra, Jowar, Ragi Flour)",,299.0,,,In Stock,https://blinkit.com/prn/lo-foods-gluten-free-millet-atta-bajra-jowar-ragi-flour/prid/561626,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,"Pillsbury Fresh Superior-Quality Chakki Atta (100% atta, 0% Maida)",,212.0,264.0,19% OFF,In Stock,https://blinkit.com/prn/pillsbury-fresh-superior-quality-chakki-atta-100-atta-0-maida/prid/55399,atta_rice_dal,atta,5 kg
blinkit,Gurgaon,Protein Chef 50% More Protein Sharbati Atta (Premium Flour),,98.0,105.0,6% OFF,In Stock,https://blinkit.com/prn/protein-chef-50-more-protein-sharbati-atta-premium-flour/prid/637983,atta_rice_dal,atta,1 kg
blinkit,Gurgaon,Whyte Farms Fresh A2 Milk,,116.0,,,In Stock,https://blinkit.com/prn/whyte-farms-fresh-a2-milk/prid/512610,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Provilac 25g High Protein Milk (Lactose-Free),,90.0,,,In Stock,https://blinkit.com/prn/provilac-25g-high-protein-milk-lactose-free/prid/730636,dairy_bread_eggs,milk,250 ml
blinkit,Gurgaon,Whyte Farms Farm Fresh Pasteurised Cow Milk,,97.0,,,In Stock,https://blinkit.com/prn/whyte-farms-farm-fresh-pasteurised-cow-milk/prid/357859,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Amul Taaza Toned Milk,,30.0,,,In Stock,https://blinkit.com/prn/amul-taaza-toned-milk/prid/19512,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Amul Gold Full Cream Milk,,36.0,,,In Stock,https://blinkit.com/prn/amul-gold-full-cream-milk/prid/12872,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Provilac 50g High Protein Milk (Lactose-Free),,150.0,,,In Stock,https://blinkit.com/prn/provilac-50g-high-protein-milk-lactose-free/prid/742139,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Provilac Cacao 26g High Protein Milk (Lactose-Free),,150.0,,,In Stock,https://blinkit.com/prn/provilac-cacao-26g-high-protein-milk-lactose-free/prid/742104,dairy_bread_eggs,milk,250 g
blinkit,Gurgaon,Highland Farms A2 Cow Milk,,170.0,,,In Stock,https://blinkit.com/prn/highland-farms-a2-cow-milk/prid/735925,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Provilac Kesar Elaichi 26g High Protein Milk (Lactose-Free),,130.0,,,In Stock,https://blinkit.com/prn/provilac-kesar-elaichi-26g-high-protein-milk-lactose-free/prid/733476,dairy_bread_eggs,milk,250 ml
blinkit,Gurgaon,Provilac Coffee 26g High Protein Milk (Lactose-Free),,130.0,,,In Stock,https://blinkit.com/prn/provilac-coffee-26g-high-protein-milk-lactose-free/prid/742100,dairy_bread_eggs,milk,250 g
blinkit,Gurgaon,Amul Taaza Homogenised Toned Milk,,77.0,,,In Stock,https://blinkit.com/prn/amul-taaza-homogenised-toned-milk/prid/176,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Amul Lactose Free Milk,,26.0,,,In Stock,https://blinkit.com/prn/amul-lactose-free-milk/prid/206314,dairy_bread_eggs,milk,250 ml
blinkit,Gurgaon,Mother Dairy Toned Milk,,30.0,,,In Stock,https://blinkit.com/prn/mother-dairy-toned-milk/prid/19925,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Amul Cow Milk,,31.0,,,In Stock,https://blinkit.com/prn/amul-cow-milk/prid/160704,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Mother Dairy Cow Milk,,62.0,,,In Stock,https://blinkit.com/prn/mother-dairy-cow-milk/prid/560906,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Whyte Farms Lactose Free Milk,,80.0,,,In Stock,https://blinkit.com/prn/whyte-farms-lactose-free-milk/prid/804080,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Mother Dairy Full Cream Milk,,36.0,,,In Stock,https://blinkit.com/prn/mother-dairy-full-cream-milk/prid/19924,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Amul Taaza Toned Milk,,17.0,,,In Stock,https://blinkit.com/prn/amul-taaza-toned-milk/prid/113945,dairy_bread_eggs,milk,200 ml
blinkit,Gurgaon,Amul Moti Toned Milk (90 Days Shelf Life),,33.0,,,In Stock,https://blinkit.com/prn/amul-moti-toned-milk-90-days-shelf-life/prid/34778,dairy_bread_eggs,milk,450 ml
blinkit,Gurgaon,Amul Buffalo A2 Milk,,40.0,,,In Stock,https://blinkit.com/prn/amul-buffalo-a2-milk/prid/522807,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Amul Gold Milk,,83.0,,,In Stock,https://blinkit.com/prn/amul-gold-milk/prid/179,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Country Delight Cow Milk,,46.0,48.0,,In Stock,https://blinkit.com/prn/country-delight-cow-milk/prid/637875,dairy_bread_eggs,milk,450 ml
blinkit,Gurgaon,Yakult Probiotic Drink,,90.0,,,In Stock,https://blinkit.com/prn/yakult-probiotic-drink/prid/3471,dairy_bread_eggs,milk,5 x 65 ml
blinkit,Gurgaon,Provilac Non-Homogenized Cow Milk,,45.0,,,In Stock,https://blinkit.com/prn/provilac-non-homogenized-cow-milk/prid/751421,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Mother Dairy FIT Life Homogenized Double Toned Milk (450 ml),,32.0,,,In Stock,https://blinkit.com/prn/mother-dairy-fit-life-homogenized-double-toned-milk-450-ml/prid/207766,dairy_bread_eggs,milk,450 ml
blinkit,Gurgaon,Amul Slim 'n' Trim Skimmed Milk (Zero Cholesterol),,85.0,,,In Stock,https://blinkit.com/prn/amul-slim-n-trim-skimmed-milk-zero-cholesterol/prid/177181,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Humpy Farms A2 Cow Milk,,46.0,49.0,6% OFF,In Stock,https://blinkit.com/prn/humpy-farms-a2-cow-milk/prid/505525,dairy_bread_eggs,milk,500 ml
blinkit,Gurgaon,Nestle a+ Toned Milk,,112.0,,,In Stock,https://blinkit.com/prn/nestle-a-toned-milk/prid/138836,dairy_bread_eggs,milk,1 ltr
blinkit,Gurgaon,Country Delight Buffalo Fresh Milk,,55.0,59.0,6% OFF,In Stock,https://blinkit.com/prn/country-delight-buffalo-fresh-milk/prid/637879,dairy_bread_eggs,milk,450 ml
blinkit,Gurgaon,Yakult Light Probiotic Drink,,100.0,,,In Stock,https://blinkit.com/prn/yakult-light-probiotic-drink/prid/382243,dairy_bread_eggs,milk,5 x 65 ml
blinkit,Gurgaon,Mysore Sandal Soap 75 g,,42.0,,,In Stock,https://blinkit.com/prn/mysore-sandal-soap-75-g/prid/19934,bath_body,bathing-soaps,75 g
blinkit,Gurgaon,Pears Pure & Gentle Soap,,186.0,211.0,11% OFF,In Stock,https://blinkit.com/prn/pears-pure-gentle-soap/prid/19481,bath_body,bathing-soaps,3 x 125 g
blinkit,Gurgaon,Dove Beauty Cream Soap,,62.0,,,In Stock,https://blinkit.com/prn/dove-beauty-cream-soap/prid/132867,bath_body,bathing-soaps,100 g
blinkit,Gurgaon,Dettol Original Bathing Bar Soap with 12 Hr Protective Shield,,250.0,312.0,19% OFF,In Stock,https://blinkit.com/prn/dettol-original-bathing-bar-soap-with-12-hr-protective-shield/prid/136968,bath_body,bathing-soaps,5 x 125 g
blinkit,Gurgaon,Lux Natural Glow Soap Mega Pack,,158.0,185.0,14% OFF,In Stock,https://blinkit.com/prn/lux-natural-glow-soap-mega-pack/prid/24273,bath_body,bathing-soaps,3 x 150 g
blinkit,Gurgaon,Ghar Soaps Sandalwood & Saffron Magic Soap (Pack of 2),,260.0,333.0,21% OFF,In Stock,https://blinkit.com/prn/ghar-soaps-sandalwood-saffron-magic-soap-pack-of-2/prid/563089,bath_body,bathing-soaps,2 x 100 g
blinkit,Gurgaon,Pears Pure & Gentle Glycerin Soap,,52.0,,,In Stock,https://blinkit.com/prn/pears-pure-gentle-glycerin-soap/prid/22690,bath_body,bathing-soaps,100 g
blinkit,Gurgaon,Dove Cream Beauty Bathing Soap (3 x 125 g),,243.0,272.0,10% OFF,In Stock,https://blinkit.com/prn/dove-cream-beauty-bathing-soap-3-x-125-g/prid/445815,bath_body,bathing-soaps,3 x 125 g
blinkit,Gurgaon,Jo Lime Sparkling Fresh Soap - Buy 4 Get 1 Free,,99.0,125.0,20% OFF,In Stock,https://blinkit.com/prn/jo-lime-sparkling-fresh-soap-buy-4-get-1-free/prid/143553,bath_body,bathing-soaps,5 x 100 g
blinkit,Gurgaon,Dettol Original Bathing Bar Soap with 12 Hr Protective Shield,,161.0,178.0,9% OFF,In Stock,https://blinkit.com/prn/dettol-original-bathing-bar-soap-with-12-hr-protective-shield/prid/540416,bath_body,bathing-soaps,4 x 100 g
blinkit,Gurgaon,Ghar Soaps Sandalwood & Saffron Magic Soap,,174.0,199.0,12% OFF,In Stock,https://blinkit.com/prn/ghar-soaps-sandalwood-saffron-magic-soap/prid/609383,bath_body,bathing-soaps,100 g
blinkit,Gurgaon,Dettol Neem Bathing Bar - Buy 3 Get 1 Free,,103.0,126.0,18% OFF,In Stock,https://blinkit.com/prn/dettol-neem-bathing-bar-buy-3-get-1-free/prid/496492,bath_body,bathing-soaps,4 x 75 g
blinkit,Gurgaon,Fiama Soap Blackcurrant & Bearberry Radiant Glow,,72.0,84.0,14% OFF,In Stock,https://blinkit.com/prn/fiama-soap-blackcurrant-bearberry-radiant-glow/prid/544848,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Khadi Natural Rosewater Handmade Soap,,84.0,99.0,15% OFF,In Stock,https://blinkit.com/prn/khadi-natural-rosewater-handmade-soap/prid/484711,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Khadi Natural Sandalwood Handmade Soap,,84.0,99.0,15% OFF,In Stock,https://blinkit.com/prn/khadi-natural-sandalwood-handmade-soap/prid/484712,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Lux Jasmine & Vitamin C + E Beauty Soap,,158.0,185.0,14% OFF,In Stock,https://blinkit.com/prn/lux-jasmine-vitamin-c-e-beauty-soap/prid/127687,bath_body,bathing-soaps,3 x 150 g
blinkit,Gurgaon,Pears Pure & Gentle Soap (125 g) - Pack of 5,,293.0,401.0,26% OFF,In Stock,https://blinkit.com/prn/pears-pure-gentle-soap-125-g-pack-of-5/prid/211410,bath_body,bathing-soaps,5 x 125 g
blinkit,Gurgaon,Biotique Basil & Parsley Revitalizing Soap,,87.0,107.0,18% OFF,In Stock,https://blinkit.com/prn/biotique-basil-parsley-revitalizing-soap/prid/242024,bath_body,bathing-soaps,150 g
blinkit,Gurgaon,Dettol Skincare Moisturizing Beauty Bathing Soap,,139.0,156.0,10% OFF,In Stock,https://blinkit.com/prn/dettol-skincare-moisturizing-beauty-bathing-soap/prid/541076,bath_body,bathing-soaps,4 x 100 g
blinkit,Gurgaon,Forest Essentials Luxury Sugar Soap - Rose & Cardamom,,510.0,,,In Stock,https://blinkit.com/prn/forest-essentials-luxury-sugar-soap-rose-cardamom/prid/801519,bath_body,bathing-soaps,100 g
blinkit,Gurgaon,Ghar Soaps Sandalwood & Saffron Magic Soap (Pack of 3),,369.0,470.0,21% OFF,In Stock,https://blinkit.com/prn/ghar-soaps-sandalwood-saffron-magic-soap-pack-of-3/prid/563229,bath_body,bathing-soaps,3 x 100 g
blinkit,Gurgaon,Pears Soft & Fresh Soap - Buy 3 Get 1 Free,,304.0,380.0,20% OFF,In Stock,https://blinkit.com/prn/pears-soft-fresh-soap-buy-3-get-1-free/prid/362297,bath_body,bathing-soaps,4 x 125 g
blinkit,Gurgaon,Dettol Original Bathing Bar,,62.0,67.0,7% OFF,In Stock,https://blinkit.com/prn/dettol-original-bathing-bar/prid/747360,bath_body,bathing-soaps,150 g
blinkit,Gurgaon,Fiama Men Soap Bar Refreshing Pulse Sea Minerals,,59.0,84.0,29% OFF,In Stock,https://blinkit.com/prn/fiama-men-soap-bar-refreshing-pulse-sea-minerals/prid/544904,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Fiama Moisturizing Soap Bars Japanese Hokkaido Milk & Acai Berry,,62.0,70.0,11% OFF,In Stock,https://blinkit.com/prn/fiama-moisturizing-soap-bars-japanese-hokkaido-milk-acai-berry/prid/598189,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Forest Essentials Luxury Sugar Soap - Sandalwood & Turmeric,,510.0,,,In Stock,https://blinkit.com/prn/forest-essentials-luxury-sugar-soap-sandalwood-turmeric/prid/801518,bath_body,bathing-soaps,100 g
blinkit,Gurgaon,Himalaya Cucumber & Coconut Soap 125 g,,51.0,60.0,15% OFF,In Stock,https://blinkit.com/prn/himalaya-cucumber-coconut-soap-125-g/prid/30806,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Himalaya Neem & Turmeric Soap 125 g,,51.0,60.0,15% OFF,In Stock,https://blinkit.com/prn/himalaya-neem-turmeric-soap-125-g/prid/170508,bath_body,bathing-soaps,125 g
blinkit,Gurgaon,Jo Almond & Cream Caressing Soap - Buy 4 Get 1 Free,,99.0,125.0,20% OFF,In Stock,https://blinkit.com/prn/jo-almond-cream-caressing-soap-buy-4-get-1-free/prid/484706,bath_body,bathing-soaps,5 x 100 g
blinkit,Gurgaon,Lux International Smooth & Radiant Soap,,273.0,328.0,16% OFF,In Stock,https://blinkit.com/prn/lux-international-smooth-radiant-soap/prid/756240,bath_body,bathing-soaps,4 x 130 g
bigbasket,Gurgaon,Onion,fresho!,69.0,86.25,20% OFF,In Stock,https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/,fresh_vegetables,fresh-vegetables,1 kg
bigbasket,Gurgaon,Ladies' Fingers,fresho!,7.0,21.25,67% OFF,In Stock,https://www.bigbasket.com/pd/10000143/fresho-ladies-finger-250-g/,fresh_vegetables,fresh-vegetables,250 g
bigbasket,Gurgaon,Local Tomato,fresho!,20.0,76.25,74% OFF,In Stock,https://www.bigbasket.com/pd/10000203/fresho-tomato-local-1-kg/,fresh_vegetables,fresh-vegetables,1 kg
bigbasket,Gurgaon,Potato - New,fresho!,10.0,32.5,69% OFF,In Stock,https://www.bigbasket.com/pd/40320936/fresho-potato-fresh-crop-1-kg/,fresh_vegetables,fresh-vegetables,1 kg
bigbasket,Gurgaon,Capsicum - Green,fresho!,20.0,35.0,43% OFF,In Stock,https://www.bigbasket.com/pd/10000068/fresho-capsicum-green-250-g/,fresh_vegetables,fresh-vegetables,250 g
bigbasket,Gurgaon,Cucumber,fresho!,24.5,36.25,32% OFF,In Stock,https://www.bigbasket.com/pd/10000103/fresho-cucumber-500-g/,fresh_vegetables,fresh-vegetables,500 g
bigbasket,Gurgaon,Bottle Gourd,fresho!,10.0,41.25,76% OFF,In Stock,https://www.bigbasket.com/pd/20000745/fresho-bottle-gourd-1-pc/,fresh_vegetables,fresh-vegetables,(Approx. 500 g - 800 g)
bigbasket,Gurgaon,Tomato - Hybrid,fresho!,52.0,96.25,46% OFF,In Stock,https://www.bigbasket.com/pd/10000200/fresho-tomato-hybrid-1-kg/,fresh_vegetables,fresh-vegetables,1 kg
bigbasket,Gurgaon,English Cucumber,fresho!,30.5,48.75,37% OFF,In Stock,https://www.bigbasket.com/pd/10000599/fresho-cucumber-english-500-g/,fresh_vegetables,fresh-vegetables,500 g
bigbasket,Gurgaon,Sponge Gourd,fresho!,38.0,47.5,20% OFF,In Stock,https://www.bigbasket.com/pd/30000584/fresho-sponge-gourd-500-g/,fresh_vegetables,fresh-vegetables,500 g
bigbasket,Gurgaon,Beetroot,fresho!,15.5,21.25,27% OFF,In Stock,https://www.bigbasket.com/pd/10000047/fresho-beetroot-250-g/,fresh_vegetables,fresh-vegetables,300 g
bigbasket,Gurgaon,Carrot - Ooty,fresho!,37.0,46.25,20% OFF,In Stock,https://www.bigbasket.com/pd/10000271/fresho-carrot-ooty-500-g/,fresh_vegetables,fresh-vegetables,500 g
bigbasket,Gurgaon,Purple Brinjal - Long,fresho!,20.0,25.0,20% OFF,In Stock,https://www.bigbasket.com/pd/20001189/fresho-brinjal-purple-long-250-g/,fresh_vegetables,fresh-vegetables,250 g
bigbasket,Gurgaon,Bitter Gourd,fresho!,23.0,28.75,20% OFF,In Stock,https://www.bigbasket.com/pd/10000050/fresho-bitter-gourd-250-g/,fresh_vegetables,fresh-vegetables,250 g
